texts,sentiment
The real estate company posted a net loss of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share compared with a net profit of +ó  x201a -¼ 31 million +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007,negative
"Production levels have been agreed with producers a long time ago , so a fall in consumption will lead to losses",negative
The company said that its comparable operating profit for the January-June period fell short of last year 's corresponding performance,negative
"`` We have a group of 120 volunteers made up of Digicel employees who will manage the distribution ... Over the next week , they will distribute the 19,000 tents to more than 150 organizations , '' Digicel Haiti CEO Maarten Boute said",neutral
"According to Nordic financial group Nordea 's analyst Sami Sarkamies , this makes Nokia 's portfolio competitive again",positive
"Capacity will ease at its Seikku sawmill in Pori and Alholma sawmill in Pietarsaari and result in 60 people being laid off for around six weeks starting mid-May , it said",negative
"According to Finnish petrol station chain St1 's managing director Kim Wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition",negative
Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn,positive
"Via the plant , the Belgian company will feed 8.4 MW of electricity into the distribution grid and will be able to deliver up to 14 MW of heat",neutral
"`` The number of collection errors fell considerably , and operations speeded up",positive
"Tallink claims the watertight doors of both Vana Tallinn and Regina Baltica , including their electrical systems , are fully in working order",positive
M. and a Master of Business Administration MBA,neutral
Tracker G400 is a GPS collar for hunting dogs allowing to monitor the dog 's position and movements with a map application for mobile phones,neutral
"Operating profit , excluding non-recurring items , totaled EUR 0.2 mn , down from EUR 0.8 mn in the corresponding period in 2006",negative
"Due to rapid expansion , the market share of Tallink in terms of passenger carriage through Tallinna Sadam Port of Tallinn totaled 55 percent in November against 45.7 percent in November 2005",positive
The other deal is for process cranes to the Russian steel mill PNTZ in Pervorouralsky through an order placed by Turkish construction company Gama Endustri Tesisleri Imalat ve Montaj AS,neutral
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 )",negative
The adjustments concern staff in both the Specialty Papers and the Fiber Composites segments,neutral
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier,positive
"`` With this agreement , we can continue our good cooperationand at the same time release capital that has been tied up in ourmachinery operation",positive
No financial details were reported,neutral
Work on the assignment has already started and is due for completion in spring 2011,neutral
The value of the orders is over EUR 10mn,neutral
"Via the Satlan acquisition , Teleste plans to further expand its market presence as a video services partner for cable operators , broadcasters and IPTV service providers",positive
Swedbank 's shares have been hardest hit of the Swedish banks by the ongoing international financial crisis,negative
in Q1 2010 18 May 2010 - Finnish electrical components maker Salcomp Oy ( HEL : SAL1V ) said today it turned to a net profit of EUR1 .6 m in the first quarter of 2010 versus a loss of EUR2m in the corresponding period last year,positive
Its market share widened to 48.51 percent from 48.31 percent a year earlier,positive
"In the building and home improvement trade , sales decreased by 22.5 % to EUR 201.4 mn",negative
The value of the order is USD 2.2 mn,neutral
LONDON MarketWatch -- Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100,negative
"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project",negative
"Finnish Food Workers ' Union SEL plans to hasten its collective bargaining with a two-day strike that would begin on 7 April 2010 , in Finland",negative
"The Web-Marela application handles invitations to quote , quote comparisons , agreements , purchases , invoice inspections , inventory management , and deliveries",neutral
"Re-use back into PET bottles has also steadily increased and the rate of use in strapping tape has picked up again after a dip in 2005 , Petcore said previously",positive
The new location is n't the only change Wellmont has in store for its air transport service,neutral
"City24 users can search for homes and properties in all areas where City24 is active , even outside their own country",neutral
The diluted loss per share narrowed to EUR 0.27 from EUR 0.86,positive
"The sale will be finalized in September or October , the company said",neutral
"The study evaluated the safety , tolerability and pharmacokinetics of repeated doses of intravenously administered antibody in 26 patients with active plaque psoriasis",neutral
Finnair said that the cancellation of flights would cause daily losses of  x20ac 2.5 million US$ 3 million,negative
`` Serving customers locally is one of the cornerstones of customer focus for us,neutral
"At some point in 2010 , all separate company names , such as Palmberg , Tekmanni , Lemcon , Forssan Betoni , Suonenjoen Betonituote , among others , will disappear",neutral
"Russian officials inspected the damage and gave the vessel permission to continue to Tallinn at around 4.30 a.m. The Norwegian-registered M-T Sten Nordic was carrying 11,000 tons of gas oil and was manned by a Filipino crew",neutral
